food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Calcium
yokan,36,0.022,0.064,0.072,0.003,8.5,0.0,0.5,0.0,0.0,0.05,0.0
fava beans cooked,187,0.7,0.1,0.1,0.3,33.4,3.1,12.9,9.2,0.0,0.081,0.067
french beans raw,631,3.7,0.4,0.3,2.2,118.0,0.0,34.6,46.4,0.0,0.069,342.2
chickpeas canned,352,7.0,0.5,1.2,2.4,57.0,0.0,17.8,0.0,0.0,0.6,113.9
yellow beans cooked,255,1.9,0.5,0.2,0.8,44.7,0.0,16.2,18.4,0.0,0.086,0.0
mung beans cooked,212,0.8,0.2,0.1,0.3,38.7,4.0,14.2,15.4,0.0,0.083,0.005
white beans canned,299,0.8,0.2,0.073,0.3,55.5,0.8,19.0,12.6,0.0,0.079,191.3
pink beans cooked,252,0.8,0.2,0.045,0.4,47.2,0.6,15.3,9.0,0.0,0.075,0.083
pink beans raw,720,2.4,0.6,0.2,1.0,134.8,4.5,44.0,26.7,0.0,0.057,273.0
navy beans raw,701,3.1,0.4,0.5,2.9,126.4,8.1,46.4,50.8,0.0,0.059,305.8
snap beans cooked,44,0.4,0.005,0.02,0.2,9.9,1.9,2.4,4.0,0.0,0.086,0.053
black eyed cowpeas raw,131,0.5,0.1,0.003,0.2,27.3,4.4,4.3,7.3,0.0,0.048,182.7
edamame cooked,189,8.1,1.0,2.0,3.3,13.8,3.4,18.5,8.1,0.0,0.034,0.041
black eyed cowpeas cooked,160,0.6,0.2,0.1,0.3,33.5,5.3,5.2,8.3,0.0,0.036,0.0
hyacinth beans cooked,227,1.1,0.2,0.076,0.5,40.2,0.0,15.8,0.0,0.0,0.0,0.0
cowpeas canned,185,1.3,0.3,0.1,0.6,32.7,0.0,11.4,7.9,0.0,0.7,48.0
pinto beans cooked,245,1.1,0.2,0.2,0.3,44.8,0.6,15.4,15.4,0.0,0.085,0.097
winged beans cooked,253,10.0,1.4,3.7,2.7,25.7,0.0,18.3,0.0,0.0,0.4,244.2
pinto beans raw,670,2.4,0.5,0.4,0.8,120.7,4.1,41.3,29.9,0.0,0.036,218.1
black turtle beans raw,624,1.7,0.4,0.1,0.7,116.4,3.9,39.1,28.5,0.0,0.041,294.4
fava beans raw,512,2.3,0.4,0.5,0.9,87.4,8.6,39.2,37.5,0.0,0.1,154.5
lima beans canned,190,0.4,0.095,0.087,0.2,35.9,0.0,11.9,11.6,0.0,0.8,50.6
hyacinth beans raw,722,3.5,0.6,0.2,1.5,127.6,0.0,50.2,53.8,0.0,0.073,273.0
white beans raw,673,1.7,0.4,0.1,0.7,121.7,4.3,47.2,30.7,0.0,0.051,484.8
snap beans canned,66,0.4,0.1,0.027,0.2,15.4,0.0,3.5,6.6,0.0,0.09,105.4
navy beans canned,296,1.1,0.3,0.073,0.5,53.6,0.7,19.7,13.4,0.0,1.2,123.1
mung beans raw,718,2.4,0.7,0.3,0.8,129.6,13.7,49.4,33.7,0.0,0.085,273.2
adzuki beans raw,648,1.0,0.4,0.034,0.2,123.9,0.0,39.1,25.0,0.0,0.06,130.0
black turtle beans cooked,241,0.6,0.2,0.002,0.3,45.0,0.6,15.1,15.4,0.0,0.06,0.004
pink lentils raw,662,4.2,0.7,1.0,2.2,113.6,0.0,47.9,20.7,0.0,0.092,78.7
yellow beans raw,676,5.1,1.3,0.4,2.2,119.0,0.0,43.1,49.2,0.0,0.046,325.4
white beans cooked,249,0.6,0.2,0.044,0.3,44.9,0.6,17.4,11.3,0.0,0.045,0.029
lentils raw,678,2.0,0.3,0.4,1.0,115.4,3.9,49.5,58.6,0.0,0.039,107.5
cranberry beans cooked,241,0.8,0.2,0.088,0.4,43.3,0.0,16.5,17.7,0.0,0.4,0.0
chickpeas raw,728,12.1,1.3,2.7,5.4,121.3,21.4,38.6,34.8,0.0,0.005,210.0
lentils cooked,230,0.8,0.1,0.1,0.3,39.9,3.6,17.9,15.6,0.0,0.016,0.077
baked beans canned,239,0.9,0.2,0.2,0.3,53.7,20.2,12.1,10.4,0.0,0.9,86.4
cranberry beans canned,216,0.7,0.2,0.083,0.3,39.3,0.0,14.4,16.4,0.0,0.9,88.4
black beans cooked,227,0.9,0.2,0.02,0.4,40.8,0.0,15.2,15.0,0.0,0.008,46.4
lima beans cooked,216,0.7,0.2,0.022,0.3,39.3,5.5,14.7,13.2,0.0,0.012,0.052
mungo beans raw,706,3.4,0.2,0.2,2.2,122.1,0.0,52.2,37.9,0.0,0.004,285.7
pigeon peas raw,703,3.1,0.7,0.065,1.7,128.7,0.0,44.5,30.8,0.0,0.04,266.5
fava beans canned,182,0.6,0.092,0.1,0.2,31.8,0.0,14.0,9.5,0.0,1.2,66.6
yellow snap beans raw,31,0.1,0.097,0.094,0.013,7.1,0.0,1.8,3.4,0.0,0.085,37.0
snap beans raw,31,0.2,0.051,0.016,0.1,7.0,3.3,1.8,2.7,0.0,0.025,37.0
yellow snap beans canned,36,0.2,0.076,0.064,0.1,8.4,0.0,1.9,3.6,0.0,0.6,57.6
pigeon peas cooked,203,0.6,0.1,0.05,0.3,39.1,0.0,11.4,11.3,0.0,0.036,72.2
catjang cowpeas raw,573,3.5,0.9,0.3,1.5,99.6,0.0,39.8,17.9,0.0,0.07,142.0
navy beans cooked,255,1.1,0.2,0.3,0.9,47.4,0.7,15.0,19.1,0.0,0.4,125.6
mothbeans raw,672,3.2,0.7,0.3,1.5,120.6,0.0,45.0,0.0,0.0,0.001,294.0
cowpeas cooked,81,0.4,0.037,0.039,0.2,14.5,2.3,5.4,4.6,0.0,0.037,0.033
mothbeans cooked,207,1.0,0.2,0.062,0.5,37.1,0.0,13.8,0.0,0.0,0.086,5.3
french beans cooked,228,1.3,0.1,0.046,0.8,42.5,0.0,12.5,16.6,0.0,0.003,0.0
lima beans raw,602,1.2,0.3,0.1,0.6,112.8,15.1,38.2,33.8,0.0,0.078,144.2
winged beans raw,744,29.7,4.2,10.9,7.9,75.9,0.0,54.0,47.1,0.0,0.09,800.8
adzuki beans cooked,294,0.2,0.067,0.021,0.024,57.0,0.0,17.3,16.8,0.0,0.079,0.0
black beans raw,662,2.8,0.7,0.2,1.2,121.0,4.1,41.9,30.1,0.0,0.065,238.6
catjang cowpeas cooked,200,1.2,0.3,0.1,0.5,34.7,0.0,13.9,6.2,0.0,0.021,0.0
baby lima beans cooked,189,0.5,0.1,0.06,0.3,35.0,2.5,12.0,10.8,0.0,0.064,0.06
cowpeas raw,41,0.3,0.082,0.074,0.1,8.9,4.7,3.1,3.1,0.0,0.026,61.1
shellie beans canned,74,0.5,0.034,0.07,0.3,15.2,1.5,4.3,8.3,0.0,0.8,0.051
yardlong beans raw,579,2.2,0.6,0.2,0.9,103.4,0.0,40.6,18.4,0.0,0.057,230.5
pinto beans canned,197,1.3,0.3,0.3,0.5,36.4,2.4,11.0,11.0,0.0,0.6,112.8
